DPC-KNN Training Metrics - BREAKFAST
============================================================

DPC-KNN Configuration:
  k_neighbors: 3
  target_ratio: 0.8

Total Epochs: 70
Best Validation Accuracy: 91.5493% (Epoch 38)
Final Training Loss: 0.045561
Final Validation Loss: 0.524460
Final Validation Accuracy: 89.2958%

Epoch-wise Details:
--------------------------------------------------------------------------------
Epoch	Train_Loss	Val_Loss	Val_Acc	k_neighbors	target_ratio
--------------------------------------------------------------------------------
1	2.307589	2.309780	11.5493	3	0.8
2	1.881088	1.172551	44.5070	3	0.8
3	1.280825	1.051180	51.8310	3	0.8
4	1.017150	0.732871	65.3521	3	0.8
5	0.867454	0.751397	67.3239	3	0.8
6	0.922351	0.639144	74.6479	3	0.8
7	0.850563	0.703931	71.2676	3	0.8
8	0.863250	0.737164	71.2676	3	0.8
9	0.753817	0.570673	79.1549	3	0.8
10	0.678843	0.495995	82.2535	3	0.8
11	0.706140	0.826394	75.7746	3	0.8
12	0.621029	0.520374	85.0704	3	0.8
13	0.537810	0.589406	81.1268	3	0.8
14	0.569381	0.495755	82.2535	3	0.8
15	0.489576	0.368296	87.3239	3	0.8
16	0.392972	0.541438	84.5070	3	0.8
17	0.427555	0.500001	83.3803	3	0.8
18	0.353274	0.425770	88.7324	3	0.8
19	0.376077	0.514187	86.1972	3	0.8
20	0.263955	0.549102	86.7606	3	0.8
21	0.283490	0.341801	89.0141	3	0.8
22	0.340575	0.391540	86.7606	3	0.8
23	0.286358	0.451000	85.3521	3	0.8
24	0.263464	0.465129	87.0423	3	0.8
25	0.319769	0.328647	89.5775	3	0.8
26	0.230571	0.506956	87.3239	3	0.8
27	0.246010	0.505654	87.3239	3	0.8
28	0.221812	0.381518	89.0141	3	0.8
29	0.279924	0.551866	87.0423	3	0.8
30	0.231759	0.486660	87.3239	3	0.8
31	0.236072	0.434929	87.0423	3	0.8
32	0.183141	0.463518	89.2958	3	0.8
33	0.246093	0.310659	90.1408	3	0.8
34	0.148415	0.333106	89.5775	3	0.8
35	0.136529	0.345939	91.2676	3	0.8
36	0.196642	0.445553	87.6056	3	0.8
37	0.142695	0.473799	88.7324	3	0.8
38	0.145808	0.341579	91.5493	3	0.8
39	0.111551	0.487580	89.5775	3	0.8
40	0.131951	0.413489	88.7324	3	0.8
41	0.127657	0.608763	88.4507	3	0.8
42	0.141115	0.677717	87.0423	3	0.8
43	0.124147	0.435561	88.4507	3	0.8
44	0.143203	0.344038	90.4225	3	0.8
45	0.128679	0.478152	88.7324	3	0.8
46	0.088978	0.373442	90.7042	3	0.8
47	0.069368	0.381336	91.2676	3	0.8
48	0.073638	0.438761	89.8592	3	0.8
49	0.069169	0.375095	89.0141	3	0.8
50	0.103902	0.439372	89.0141	3	0.8
51	0.098742	0.501706	90.4225	3	0.8
52	0.066833	0.381466	90.9859	3	0.8
53	0.081088	0.525143	89.2958	3	0.8
54	0.067277	0.505480	90.7042	3	0.8
55	0.056970	0.542237	89.8592	3	0.8
56	0.086496	0.561375	88.4507	3	0.8
57	0.100789	0.579806	88.1690	3	0.8
58	0.050994	0.518037	89.5775	3	0.8
59	0.047839	0.544326	89.0141	3	0.8
60	0.058710	0.603472	88.1690	3	0.8
61	0.058684	0.532767	89.0141	3	0.8
62	0.077262	0.514770	88.7324	3	0.8
63	0.054175	0.511750	88.4507	3	0.8
64	0.077710	0.506525	89.2958	3	0.8
65	0.066267	0.512862	89.5775	3	0.8
66	0.080047	0.516609	89.5775	3	0.8
67	0.045075	0.524958	89.5775	3	0.8
68	0.063792	0.522658	89.2958	3	0.8
69	0.065639	0.522962	89.2958	3	0.8
70	0.045561	0.524460	89.2958	3	0.8
