Training Metrics - BREAKFAST
==================================================

Total Epochs: 70
Best Validation Accuracy: 90.1408% (Epoch 40)
Final Training Loss: 0.018089
Final Validation Loss: 0.473688
Final Validation Accuracy: 89.8592%
Final Gamma Value: 6

Epoch-wise Details:
--------------------------------------------------------------------------------
Epoch	Train_Loss	Val_Loss	Val_Acc	Gamma
--------------------------------------------------------------------------------
1	2.304894	2.308992	4.7887	6
2	1.648990	1.007764	53.2394	6
3	1.057423	0.643551	74.3662	6
4	0.784778	0.536718	80.2817	6
5	0.636004	0.511020	80.2817	6
6	0.591075	0.571008	81.6901	6
7	0.652296	0.443825	85.0704	6
8	0.612861	0.532818	84.5070	6
9	0.554435	0.545458	80.8451	6
10	0.608024	1.023226	73.5211	6
11	0.524214	0.428218	87.0423	6
12	0.449146	0.535285	84.5070	6
13	0.360926	0.665235	82.2535	6
14	0.367444	1.034958	74.6479	6
15	0.437010	0.546238	82.8169	6
16	0.334506	0.642895	84.2254	6
17	0.361103	0.592545	81.6901	6
18	0.316671	0.581334	83.3803	6
19	0.263546	0.374546	86.4789	6
20	0.215077	0.507284	86.1972	6
21	0.202346	0.533391	87.3239	6
22	0.254085	0.573203	81.9718	6
23	0.214732	0.617219	85.0704	6
24	0.280300	0.471354	85.9155	6
25	0.221639	0.724687	80.8451	6
26	0.193177	0.891975	78.0282	6
27	0.231629	1.013833	78.8732	6
28	0.165157	0.692573	85.6338	6
29	0.109481	0.570813	87.3239	6
30	0.092142	0.548040	87.6056	6
31	0.126734	0.772299	83.3803	6
32	0.150652	0.380648	88.7324	6
33	0.096151	0.426681	89.8592	6
34	0.102033	0.570114	85.6338	6
35	0.101710	0.657193	81.1268	6
36	0.116048	0.455361	87.8873	6
37	0.056355	0.639942	88.1690	6
38	0.089641	0.425498	88.4507	6
39	0.070436	0.407808	89.2958	6
40	0.061032	0.441069	90.1408	6
41	0.061667	0.480658	87.8873	6
42	0.031665	0.517099	87.8873	6
43	0.055114	0.442716	88.4507	6
44	0.041239	0.459573	86.7606	6
45	0.039194	0.532667	88.1690	6
46	0.028883	0.503966	88.1690	6
47	0.039629	0.474133	89.2958	6
48	0.043162	0.494181	88.4507	6
49	0.056283	0.798975	85.6338	6
50	0.036064	0.454183	88.1690	6
51	0.042982	0.421960	88.4507	6
52	0.018278	0.491631	88.4507	6
53	0.014400	0.504996	87.6056	6
54	0.025069	0.556177	88.4507	6
55	0.015196	0.564713	87.8873	6
56	0.017133	0.493504	88.1690	6
57	0.022719	0.462607	88.1690	6
58	0.021373	0.496475	87.8873	6
59	0.010664	0.477226	88.4507	6
60	0.006683	0.477870	89.2958	6
61	0.009101	0.490652	89.0141	6
62	0.015416	0.486430	88.4507	6
63	0.010034	0.451566	88.4507	6
64	0.006895	0.437729	89.0141	6
65	0.010433	0.412951	89.5775	6
66	0.007203	0.433983	89.5775	6
67	0.008324	0.445815	88.7324	6
68	0.009528	0.430248	89.5775	6
69	0.004033	0.448913	89.0141	6
70	0.018089	0.473688	89.8592	6
